RSC,Crus2,MOB,Fr3,PtPD,Pir,S1,DG,BLA,Ect,IC,VL,AIV,SN,MPtA,CERE,LO,MPA,AOB,V1,VO,HIPP-fi,VM,ACC,IL,AcbSh,PLH,V2,CA,PrL,S2,DLEnt,CPuD,CPuAM,Tu,AID,MS,CEA,MeA,AIP,SC,GI,En,PA,ZI,DS,CpuDM,AO,AU,M,CI,CpuVL,PaS,M1,DI,MO,FrA,M2,LPtA,PRh,MCC,TS,TeA,PrS,sub,run,sex,age,motion
0.9285701621175129,1.06156827827177,1.042366012353418,0.9286068954933185,0.961717305303257,0.9780261653798266,0.9274844334332654,0.94143415117924,0.887919117270892,0.9815964050675,1.13410198774247,0.986784831219492,0.9469600955831265,0.977355140069611,0.931793514467234,1.0788075959412653,1.00424362734596,0.986784831219492,1.06265491356133,0.9221801087286026,1.02724719128289,0.94143415117924,0.986784831219492,1.044822550505359,1.07839917161937,1.07839917161937,1.0394542387037409,0.9269868115979182,0.94143415117924,1.087875131796835,0.8981592833942755,0.9815964050675,0.999652407424075,0.987690544126868,1.057589386126505,0.889676563820293,1.07839917161937,0.887919117270892,1.07839917161937,0.8887978405455925,1.13410198774247,0.9027615450032195,0.889676563820293,1.04880300531365,0.986784831219492,0.94143415117924,1.01212605432401,1.02106855534955,0.85053835497669,1.0347393931288005,1.02724719128289,0.967018064869849,0.94143415117924,0.9597185878115055,0.9027615450032195,1.05025075521982,1.05833728981614,0.9891654953695447,0.9117496907760341,0.9815964050675,0.929297518686091,0.94143415117924,0.9339473342931199,0.94143415117924,sub-MBRC01AAF,1,F,AA,0.004049065161469947
0.9285701621175129,1.06156827827177,1.042366012353418,0.9286068954933185,0.961717305303257,0.9780261653798266,0.9274844334332654,0.94143415117924,0.887919117270892,0.9815964050675,1.13410198774247,0.986784831219492,0.9469600955831265,0.977355140069611,0.931793514467234,1.0788075959412653,1.00424362734596,0.986784831219492,1.06265491356133,0.9221801087286026,1.02724719128289,0.94143415117924,0.986784831219492,1.044822550505359,1.07839917161937,1.07839917161937,1.0394542387037409,0.9269868115979182,0.94143415117924,1.087875131796835,0.8981592833942755,0.9815964050675,0.999652407424075,0.987690544126868,1.057589386126505,0.889676563820293,1.07839917161937,0.887919117270892,1.07839917161937,0.8887978405455925,1.13410198774247,0.9027615450032195,0.889676563820293,1.04880300531365,0.986784831219492,0.94143415117924,1.01212605432401,1.02106855534955,0.85053835497669,1.0347393931288005,1.02724719128289,0.967018064869849,0.94143415117924,0.9597185878115055,0.9027615450032195,1.05025075521982,1.05833728981614,0.9891654953695447,0.9117496907760341,0.9815964050675,0.929297518686091,0.94143415117924,0.9339473342931199,0.94143415117924,sub-MBRC01AAF,2,F,AA,0.004049065161469947
0.9397507444940694,1.13096790437055,1.11681907214365,0.996378440195871,1.07636660501498,0.9375288107064941,0.9388549003967174,0.961681947500675,1.04774123769907,0.95291737688632,1.16588922071918,1.09378247637514,0.9200079402293859,1.0432308298959,0.9424072705641215,1.0824083413894903,0.920385522301887,1.09378247637514,1.10750698746803,0.8284854736184619,0.9222135230192605,0.961681947500675,1.09378247637514,1.0276549323250406,1.06684479146993,1.06684479146993,1.0273830948963334,0.8854463720912917,0.961681947500675,1.08678914995761,0.904127575866692,0.95291737688632,1.01218279982178,0.908062831354729,1.0077970995987466,0.919630358156885,1.06684479146993,1.04774123769907,1.06684479146993,0.9836857979279775,1.16588922071918,1.0284447092578302,0.919630358156885,1.06016693594139,1.09378247637514,0.961681947500675,1.09455243439273,1.03229285105361,0.825820959371936,1.0021072716567136,0.9222135230192605,0.961980574844165,0.961681947500675,0.992478864726016,1.0284447092578302,0.924041523736634,1.03933416048333,1.00038104831703,0.9405759124180736,0.95291737688632,0.994638564186949,0.961681947500675,0.8920646394396665,0.961681947500675,sub-MBRC01AAF,3,F,AA,0.004602219234161127
0.952733225327352,0.93706923519786,0.8334559623685555,0.8032651757362737,1.01290961529076,0.916139569111225,0.8165868606618186,1.00533266329628,0.909285567301932,0.9366286804607771,0.959048418668409,0.87462693108289,0.8060944285685749,0.900773784343053,0.8899108753538889,0.979891958282082,0.78114697411474,0.87462693108289,0.909067189868709,0.9569867277703674,0.7940261574401145,1.00533266329628,0.87462693108289,0.876323751808336,0.917731941282459,0.917731941282459,0.890832834034178,0.9234488015621282,1.00533266329628,0.8300922993101985,0.8001156455672775,0.9366286804607771,0.813774525163233,0.912521216405755,1.002776089042055,0.83104188302241,0.917731941282459,0.909285567301932,0.917731941282459,0.870163725162171,0.959048418668409,0.8957595546672386,0.83104188302241,1.00431492288407,0.87462693108289,1.00533266329628,0.962944805199275,0.820948564500507,0.774024045600819,0.9039062606642595,0.7940261574401145,0.794165233005416,1.00533266329628,0.8566345495688023,0.8957595546672386,0.806905340765489,0.878533697497681,0.9127439634576483,0.866090616365412,0.9366286804607771,0.992176335516286,1.00533266329628,0.8396680785363806,1.00533266329628,sub-MBRC01AAF,4,F,AA,0.005417298453589666
0.9107957376551081,1.11043687647455,1.041606577119075,0.7735811737156494,0.91678296615634,1.05077539084656,0.7878490236574034,0.924517320167304,0.99126004986604,0.851995895236899,1.07294533013387,0.909003771586915,0.9634085218403721,0.914879116500362,0.913899108431931,1.0837745047032012,0.873389156756624,0.909003771586915,0.964690422772875,0.8396699362014695,0.929350803316052,0.924517320167304,0.909003771586915,0.9029816115534279,0.85821785712064,0.85821785712064,0.8714148814068655,0.8767845223167003,0.924517320167304,0.9453613711268285,0.7805236214053735,0.851995895236899,0.889462316320913,0.979793744666897,0.980229981121555,1.05342788692412,0.85821785712064,0.99126004986604,0.85821785712064,1.02234396839508,1.07294533013387,0.897711551214414,1.05342788692412,0.91233706747411,0.909003771586915,0.924517320167304,0.854659544144143,1.07593557703515,0.71173789512886,0.874352553863589,0.929350803316052,0.866088859707107,0.924517320167304,0.8222618054197393,0.897711551214414,0.98531244987548,0.871830353066803,0.8569670541148457,0.8792246636364744,0.851995895236899,0.941161666529404,0.924517320167304,0.798028296423293,0.924517320167304,sub-MBRC01AAF,5,F,AA,0.00520669813869728
0.9635840360893567,1.18569406214609,0.928490360789693,0.8743051638133473,0.804335289567369,0.8988562586377025,0.9258394532245803,1.12230960768692,1.018723766892,0.9865987331028035,1.16107492997804,0.943571060375515,0.984343926016468,1.00041489380629,0.853393747244708,1.0701091968660814,1.02967352064614,0.943571060375515,0.97891483445783,0.9973102649035624,0.9449489948018226,1.12230960768692,0.943571060375515,0.907258625634926,1.03087007661161,1.03087007661161,0.9091069165347285,0.9253520060741353,1.12230960768692,0.967057496940505,0.890742883515923,0.9865987331028035,0.934389867375657,1.00062586649932,0.8986512377940561,0.939014331386796,1.03087007661161,1.018723766892,1.03087007661161,0.978869049139398,1.16107492997804,0.9217450215764575,0.939014331386796,0.938604289699503,0.943571060375515,1.12230960768692,0.886201618139545,1.02971198355195,1.03657851580661,0.9375288332501159,0.9449489948018226,0.783677801280175,1.12230960768692,0.883921702572537,0.9217450215764575,0.860224468957505,1.06879657663326,0.9035460043744612,0.8696827033946181,0.9865987331028035,0.919693212022918,1.12230960768692,0.9857049541985136,1.12230960768692,sub-MBRC01AAM,1,M,AA,0.004816957174062016
1.01389686884135,0.995043285107307,1.1422532462134098,1.0084599476331564,1.08939568941248,0.9884536538304776,1.0254481627637158,1.04444254583283,0.968747052250534,1.05383723634976,1.2065767193433,0.984667610932642,0.9613937620301269,0.970712194977452,1.05232406428655,1.0852342019296863,0.883157350775634,0.984667610932642,0.980304192485569,0.98368349396995,0.9368563019504419,1.04444254583283,0.984667610932642,0.9532482228400909,0.940676343067188,0.940676343067188,1.0105732375647811,1.01800377912825,1.04444254583283,0.9587369134768176,0.9992271951321939,1.05383723634976,0.924594380332543,0.91188345565235,0.865414880615188,1.03963017328462,0.940676343067188,0.968747052250534,0.940676343067188,1.004188612767577,1.2065767193433,0.9665627784215061,1.03963017328462,0.793552626854041,0.984667610932642,1.04444254583283,0.933417393525237,0.972008022534735,0.981954636040629,1.003595529587186,0.9368563019504419,0.921099933811679,1.04444254583283,1.0190410956176357,0.9665627784215061,0.99055525312525,1.04979896849345,1.0408471810657396,1.0326104350248266,1.05383723634976,0.928850550962896,1.04444254583283,1.0134313331446996,1.04444254583283,sub-MBRC01AAM,2,M,AA,0.0047427373824936335
1.010650155959959,1.14511869706201,1.070436847956445,1.0260797816115055,1.0263235372877,0.903808322776317,0.9703627089967269,1.07284524808843,0.985338349917165,1.035358431858695,1.11095062743111,0.972471629931806,0.860757212986163,0.986520435575832,1.02263570929502,1.0896784839717182,0.810935185145308,0.972471629931806,1.0401379761806,1.0038524678649094,0.872035248494067,1.07284524808843,0.972471629931806,0.878616286918816,0.933736545459454,0.933736545459454,0.9443990003450945,1.0132440885799647,1.07284524808843,0.877068866130135,1.02733570081934,1.035358431858695,0.80101288813235,0.771335258152392,0.889454694708699,0.910579240827018,0.933736545459454,0.985338349917165,0.933736545459454,0.9479587953720915,1.11095062743111,1.0162724988027274,0.910579240827018,0.881871984691782,0.972471629931806,1.07284524808843,0.870675037443922,0.963775449834196,0.954250685314542,0.9514234031671075,0.872035248494067,0.860169051472606,1.07284524808843,1.017005972043964,1.0162724988027274,0.933135311842826,0.952096608871132,0.9779583982891242,0.9785274427882511,1.035358431858695,0.978958845688485,1.07284524808843,1.0058135380882711,1.07284524808843,sub-MBRC01AAM,3,M,AA,0.005697488607483711
0.9237260087888595,1.07273060523932,1.006465879653365,0.995220334777903,0.98501815581768,0.9919551788472756,0.8851189658445328,0.889514710146395,0.791096021169364,0.832769163670724,1.03732534544517,1.05259924345985,0.924552426460461,1.07087699061177,0.9214155448562256,1.028134159027732,0.859419645251496,1.05259924345985,0.922136664335577,0.9704936118299375,0.9286899211846964,0.889514710146395,1.05259924345985,1.0008304088568094,0.992029657333486,0.992029657333486,0.988440402017059,0.9459545783430815,0.889514710146395,0.9913113952633066,0.8560788113270575,0.832769163670724,0.915033911211571,0.899097871133485,0.9959576786994515,0.989685207669426,0.992029657333486,0.791096021169364,0.992029657333486,0.8903906144193949,1.03732534544517,0.8214120628499535,0.989685207669426,0.997690207373778,1.05259924345985,0.889514710146395,0.933935602390774,0.990319208715839,0.763439735136123,0.9975792755930191,0.9286899211846964,0.880616479500855,0.889514710146395,1.022056895909664,0.8214120628499535,0.997960197117897,0.962701898375682,1.0064427200960284,0.9128853865058809,0.832769163670724,0.865074570260471,0.889514710146395,0.8313190964468185,0.889514710146395,sub-MBRC01AAM,4,M,AA,0.006959419025169231
0.986254642319491,1.20601686422577,1.058589184067185,1.0394698962945532,1.00741066783385,0.865357192842171,0.909326006098982,1.12979189982666,0.892013483514151,1.06044304766624,1.18782747767788,0.915461894907998,0.815174897731864,1.03149403549948,0.9515628978232595,1.138813845499192,0.784268386126563,0.915461894907998,1.02723976064304,1.079093142708535,0.8368137853356,1.12979189982666,0.915461894907998,0.948228907243324,1.00695326142679,1.00695326142679,0.987914854399029,1.0153280202658972,1.12979189982666,0.9867099353826314,0.8835241968755589,1.06044304766624,0.908114017767463,0.994844453117688,0.9731227781422985,0.846081409337165,1.00695326142679,0.892013483514151,1.00695326142679,0.869047446425658,1.18782747767788,0.9071881879927515,0.846081409337165,1.06161257993742,0.915461894907998,1.12979189982666,0.8275859371899,0.908618736631819,1.12579929480403,1.04593092469477,0.8368137853356,0.902945976743095,1.12979189982666,1.031475982530419,0.9071881879927515,0.889359184544637,1.03632850485174,1.027531979715087,0.905561695482643,1.06044304766624,0.823878188480696,1.12979189982666,1.09037442416109,1.12979189982666,sub-MBRC01AAM,5,M,AA,0.004523344022523814
